idproduto;ean;descricaoproduto;pisclassificacaofiscal;pisaliquota;cofinsclassificacaofiscal;cofinsaliquota;csosn;codigoncm;aliquota;
38962;"7908281326433";"PETISQUEIRA DE VIDRO GALAXY";"49";0,00;"49";0,00;"500";"70134900";0,00;
39025;"3528701286785";"CAMARA AR P/CARRIN LEVORIN";"04";0,00;"04";0,00;"500";"40139000";0,00;
39026;"7898650900572";"ESCOVA LAVAR ROUPA OVAL C/CABO TOQ";"49";0,00;"49";0,00;"102";"96039000";0,00;
39027;"7898105775717";"RELE FOTOEL FOXLUX 127V";"49";0,00;"49";0,00;"500";"85364900";0,00;
38966;"7891118026111";"PIRULITO BIG BIG MAX TUTTI FRUTTI 600G";"49";0,00;"49";0,00;"102";"17049090";0,00;
39033;"7892840819620";"BACONZITOS 31G";"49";0,00;"49";0,00;"500";"19059090";0,00;
36847;"7897510301283";"LAVA ROUPA ASTRA 1,6KG";"49";0,00;"49";0,00;"500";"34012090";0,00;
36848;"7897510301313";"LAVA ROUPAS BARRA FRESH SACHET 800G";"49";0,00;"49";0,00;"500";"34012090";0,00;
38870;"7898442726090";"PINCA DEPILATORIA MERHEJE";"49";0,00;"49";0,00;"500";"82032090";0,00;
39014;"7896521002141";"ROSCA AMANTEIGADA GRAO REAL 200G";"06";0,00;"06";0,00;"102";"19054000";0,00;
39028;"7898142863934";"BARRA ARCOR CHOCOLATE BRANCO 80G";"49";0,00;"49";0,00;"500";"17049010";0,00;
38974;"7891150089549";"SABAO EM PO OMO ECONOMICO 3.2KG";"49";0,00;"49";0,00;"500";"34025000";0,00;
39046;"0000000039046";"SALSICHA REZENDE KG";"06";7,35;"06";0,00;"102";"16010000";0,00;
37465;"0000000037465";"MORTADELA PERDIGAO KG";"06";0,00;"06";0,00;"102";"16010000";0,00;
39061;"7891000307083";"NESCAFE TRADICAO FORTE SACHET 40G";"49";0,00;"49";0,00;"500";"21011110";0,00;
39062;"7896013501930";"NOVEX RECARGA NOTURNA 80G";"04";0,00;"04";0,00;"500";"33059000";0,00;
39063;"7898949409519";"SAB ASEPXIA NEUTRO 80G";"49";0,00;"49";0,00;"102";"34011190";0,00;
39070;"7891991298551";"FUSION PET 500ML";"06";0,00;"06";0,00;"500";"22029900";0,00;
39029;"7897534849549";"KIT BANHEIRO AZULIM";"49";0,00;"49";0,00;"500";"34029039";0,00;
39076;"7897751901815";"SAB.GIPSY ENERGIA DA AMAZONIA 80G";"49";0,00;"49";0,00;"102";"34011190";0,00;
38984;"7899706133432";"CONDICIONADOR ELSEVE HYDRA DETOX 400ML";"04";0,00;"04";0,00;"500";"33059000";7,00;
39080;"0000000039080";"TAXA DE ENTREGA P/LITRAO";"06";0,00;"06";0,00;"102";"22030000";0,00;
37466;"7909690439165";"HAVAINA SLIM TROPICAL 35/36";"49";0,00;"49";0,00;"102";"64022000";0,00;
39237;"7891172523458";"PAPEL HIGIENICO NEVE 20M 4UN";"49";0,00;"49";0,00;"102";"48181000";0,00;
36849;"7899706197588";"CONDICIONADOR ELSEVE CACHOS DOS SONHOS 400ML";"04";0,00;"04";0,00;"500";"33059000";7,00;
36850;"7899706187428";"CONDICIONADOR ELSEVE HIDRA HIALURONICO 400ML";"04";0,00;"04";0,00;"500";"33059000";7,00;
36851;"7898587774376";"COND ELSEVE OLEO EXTRA NUTRICAO 400ML";"04";0,00;"04";0,00;"500";"33059000";7,00;
36852;"7899706197649";"SH ELSEVE CACHOS DOS SONHOS 400ML";"04";0,00;"04";0,00;"500";"33051000";0,00;
36853;"7899706187367";"SH ELSEVE HIDRA HIALURONICO 400ML";"04";0,00;"04";0,00;"500";"33051000";0,00;
36854;"7898587774338";"SHAMPOO ELSEVE OLEO EXTRA NUTRICAO 400ML";"04";0,00;"04";0,00;"500";"33051000";0,00;
37467;"0000000037467";"HAVAIANA SLIM LOGO POP-UP PINK  33/34";"";0,63;"";0,00;"102";"64022000";0,00;
39059;"7898923193311";"PRATO DESCARTAVEL FORFEST 20,8CM C/10";"49";0,00;"49";0,00;"500";"39241000";0,00;
37468;"7909690448327";"HAV.KIDS FLORES ROSA MACARON 25/26";"49";0,00;"49";0,00;"102";"64022000";0,00;
38975;"7898923217017";"GUARAVITON GINSENG 500ML";"06";0,00;"06";0,00;"500";"22021000";0,00;
37469;"7909690448334";"HAV.KIDS FLORES ROSA MACARON 27/28";"49";0,00;"49";0,00;"102";"64022000";0,00;
37470;"7909690448358";"HAV.KIDS FLORES ROSA MACARON 31/32";"49";0,00;"49";0,00;"102";"64022000";0,00;
38976;"7899075884898";"CONJUNTO DE 3 POTES";"49";0,00;"49";0,00;"500";"39241000";0,00;
39081;"7891164035037";"POSTA DE TILAPIA AURORA 400G";"49";0,00;"49";0,00;"102";"03038952";0,00;
37471;"7909690485926";"HAVAIANA KIDS BEN 10 29/30";"49";0,00;"49";0,00;"102";"64022000";0,00;
39110;"7892212080085";"SOMBRINHA FEM. EXECUTIVE COLORIDA GRANDE";"49";0,00;"49";0,00;"102";"66019110";0,00;
39112;"0000000039112";"LINGUICA FLIP SABOROSA KG";"06";0,00;"06";0,00;"102";"16010000";0,00;
37472;"7909690485902";"HAVAIANA KIDS BEN 10 25/26";"49";0,00;"49";0,00;"102";"64022000";0,00;
37473;"7909690485896";"HAVAIANA KIDS BEN 10 23/24";"49";0,00;"49";0,00;"102";"64022000";0,00;
39034;"7896327512929";"ACHOCOLATADO APTI 300G";"49";0,00;"49";0,00;"500";"18069000";0,00;
37474;"7909690485933";"HAVAIANA KIDS BEN 10 31/32";"49";0,00;"49";0,00;"102";"64022000";0,00;
37475;"7909690485919";"HAVAIANA KIDS BEN 10 27/28";"49";0,00;"49";0,00;"102";"64022000";0,00;
38977;"7896018704848";"TOALHA UMEDIDECIDAS HUGGIES C/88";"04";0,00;"04";0,00;"500";"34011190";0,00;
39001;"7897173098964";"BOLINHO TURMA DA MONICA BAUNILHA 40G";"49";0,00;"49";0,00;"500";"19059090";0,00;
39010;"0619205889558";"ROSQUINHA DE MANTEIGA SABOR DA ROCA 150G";"49";0,00;"49";0,00;"500";"19059090";0,00;
39002;"7891000877456";"NESCAFE MOCA DOCE DE LEITE 10CAPS";"49";0,00;"49";0,00;"500";"21011200";0,00;
39003;"7891000379738";"ACHOCOLATADO NESCAU LATA 670G";"49";0,00;"49";0,00;"500";"18069000";0,00;
39055;"7896005800577";"CAFE DESCAFEINADO 3 CORACOES 250G";"49";0,00;"49";0,00;"102";"09012200";0,00;
39083;"7896004009025";"PANETTONE PARATI CHOCOLATE 400G";"49";0,00;"49";0,00;"102";"19052010";0,00;
39084;"7896004009063";"PANETTONE PARATI CHOCOMAX AVELA 400G";"49";0,00;"49";0,00;"102";"19052010";0,00;
39086;"7896004009001";"PANETTONE PARATI TRADICIONAL 450G";"49";0,00;"49";0,00;"102";"19052010";0,00;
39064;"7899706244060";"CO ELSEVE 400ML PURE HIALURONICO";"04";0,00;"04";0,00;"500";"33059000";7,00;
39065;"7899706244107";"SH ELSEVE 400ML PURE HIALURONICO";"04";0,00;"04";0,00;"500";"33051000";0,00;
39035;"7896024760388";"PIRAQUE BISCOITO RECHEADO COCO 160G";"49";0,00;"49";0,00;"500";"19053100";0,00;
39132;"4056807092591";"FITA DUPLA FACE TRANSPARENTE 9MM X 1,5M";"49";0,00;"49";0,00;"102";"39191010";0,00;
